id,title,movement,case_material,year,condition,ref,box,papers,country,region,case_diameter,price,url,note,hot_48
20658147,"Rolex Daytona Cosmograph 116500LN Ceramic Bezel, Black Dial",Automatic,Steel,2019,Unworn,116500LN,Y,Y,Singapore,singapore,40 mm,"S$46,800",https://www.chrono24.sg/rolex/rolex-daytona-cosmograph-116500ln-ceramic-bezel-black-dial--id20658147.htm,,
20629115,Rolex Cellini Moonphase Cellini Moonphase 50535,Automatic,Rose gold,2019,Unworn,50535,N,Y,Singapore,,39 mm,Price on request,https://www.chrono24.sg/rolex/cellini-moonphase-cellini-moonphase-50535--id20629115.htm,,
9941032,Rolex Oyster Perpetual Date Ref 1500 (Year 1974),Automatic,Steel,1974,Good,1500,N,N,Singapore,,34 mm,"S$5,988",https://www.chrono24.sg/rolex/rolex-oyster-perpetual-date-ref-1500-year-1974--id9941032.htm,,
19365061,"Rolex Explorer II 16570, K series, Box and papers.",Automatic,Steel,2002,Good,16570,Y,Y,Singapore,,40 mm,"S$12,415",https://www.chrono24.sg/rolex/rolex-explorer-ii-16570-k-series-box-and-papers--id19365061.htm,,
20330496,"Rolex Submariner 5513 ""Non-serif"" dial, complete set.",Automatic,Steel,1969,Fair,5513,Y,Y,Singapore,,40 mm,"S$26,750",https://www.chrono24.sg/rolex/rolex-submariner-5513-non-serif-dial-complete-set--id20330496.htm,,
20331099,Rolex 78274,Automatic,-,2001,Very good,78274,Y,Y,Singapore,SINGAPORE,31 mm,"S$9,000",https://www.chrono24.sg/rolex/78274--id20331099.htm,,
19009470,Rolex 14060M Submariner Rare Long f ND 4 liners 2008,Automatic,Steel,2008,Very good,14060M,Y,N,Singapore,singapore,40 mm,"S$14,815",https://www.chrono24.sg/rolex/rolex-14060m-submariner-rare-long-f-nd-4-liners-2008--id19009470.htm,,
20675678,Rolex Submariner Date 40mm Two Tone Ref. 16613 (SEL),Automatic,Gold/Steel,2000,Very good,16613,N,N,Singapore,Singapore,40 mm,"S$15,000",https://www.chrono24.sg/rolex/submariner-date-40mm-two-tone-ref-16613-sel--id20675678.htm,,
18636725,"Rolex Submariner ""Kermit"" 16610LV",Automatic,Steel,-,Very good,16610LV,N,N,Singapore,,40 mm,"S$26,215",https://www.chrono24.sg/rolex/rolex-submariner-kermit-16610lv--id18636725.htm,,
16732491,Rolex Oyster Perpetual 1005 Pink Gold,Automatic,Rose gold,-,Very good,1005,N,N,Singapore,,34 mm,"S$9,054",https://www.chrono24.sg/rolex/rolex-oyster-perpetual-1005-pink-gold--id16732491.htm,,
14359374,"Rolex MK 1 Dial, Submariner (No Date)",Automatic,Steel,1978,Good,5513,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/mk-1-dial-submariner-no-date--id14359374.htm,,
16704802,Rolex DeepSea Blue DeepSea 126660,Automatic,Steel,2020,Unworn,126660,Y,Y,Singapore,,44 mm,Price on request,https://www.chrono24.sg/rolex/deepsea-blue-deepsea-126660--id16704802.htm,,
20658147,"Rolex Daytona Cosmograph 116500LN Ceramic Bezel, Black Dial",Automatic,Steel,2019,Unworn,116500LN,Y,Y,Singapore,singapore,40 mm,"S$46,800",https://www.chrono24.sg/rolex/rolex-daytona-cosmograph-116500ln-ceramic-bezel-black-dial--id20658147.htm,,
20724169,Rolex Daytona - [RARE] Blue racing dial with red hands,Automatic,Gold/Steel,2019,Very good,116503,Y,Y,Singapore,Singapore,40 mm,"S$57,253",https://www.chrono24.sg/rolex/rolex-daytona---rare-blue-racing-dial-with-red-hands--id20724169.htm,Top,
17378009,Rolex Submariner Date,Automatic,Steel,1978,Very good,1680,Y,Y,Singapore,,40 mm,"S$40,879",https://www.chrono24.sg/rolex/rolex-submariner-date--id17378009.htm,,
19970068,Rolex GMT-Master II,Automatic,Steel,2021,Unworn,126710BLNR-0002,Y,Y,Singapore,Singapore,40 mm,"S$25,500",https://www.chrono24.sg/rolex/gmt-master-ii--id19970068.htm,,
