id,title,movement,case_material,year,condition,ref,box,papers,location,case_diameter,price,url
13001856,Rolex Lady-Datejust,Automatic,Rose gold,2019,New,179175,Y,Y,Singapore,26 mm,Price on request,https://www.chrono24.sg/rolex/lady-datejust--id13001856.htm
20530220,"Rolex Daytona Cosmograph Panda 116500LN Ceramic Bezel, White Dial",Automatic,Steel,2019,Very good,m116500ln-0001,Y,Y,"Singapore, singapore",40 mm,"S$51,800",https://www.chrono24.sg/rolex/daytona-cosmograph-panda-116500ln-ceramic-bezel-white-dial--id20530220.htm
19609969,Rolex GMT-Master II,Automatic,Gold/Steel,2014,Good,116713LN,Y,Y,"Singapore, singapore",40 mm,"S$18,000",https://www.chrono24.sg/rolex/gmt-master-ii--id19609969.htm
12827383,Rolex 116759SARU,Automatic,White gold,-,Very good,-,N,N,Singapore,-,Price on request,https://www.chrono24.sg/rolex/rolex-116759saru--id12827383.htm
20331099,Rolex 78274,Automatic,-,2001,Very good,78274,Y,Y,"Singapore, SINGAPORE",31 mm,"S$9,000",https://www.chrono24.sg/rolex/78274--id20331099.htm
19521649,"Rolex GMT-Master II ""Batman""",Automatic,Steel,2017,Very good,116710BLNR,Y,Y,"Singapore, Singapore",40 mm,"S$24,800",https://www.chrono24.sg/rolex/rolex-gmt-master-ii-batman--id19521649.htm
15019853,Rolex Submariner (No Date) Omani Khanjar,Automatic,Steel,2018,Very good,114060,N,Y,Singapore,40 mm,Price on request,https://www.chrono24.sg/rolex/submariner-no-date-omani-khanjar--id15019853.htm
9941032,Rolex Oyster Perpetual Date Ref 1500 (Year 1974),Automatic,Steel,1974,Good,1500,N,N,Singapore,34 mm,"S$5,988",https://www.chrono24.sg/rolex/rolex-oyster-perpetual-date-ref-1500-year-1974--id9941032.htm
20675678,Rolex Submariner Date 40mm Two Tone Ref. 16613 (SEL),Automatic,Gold/Steel,2000,Very good,16613,N,N,"Singapore, Singapore",40 mm,"S$15,000",https://www.chrono24.sg/rolex/submariner-date-40mm-two-tone-ref-16613-sel--id20675678.htm
19009470,Rolex 14060M Submariner Rare Long f ND 4 liners 2008,Automatic,Steel,2008,Very good,14060M,Y,N,"Singapore, singapore",40 mm,"S$14,815",https://www.chrono24.sg/rolex/rolex-14060m-submariner-rare-long-f-nd-4-liners-2008--id19009470.htm
